sentence,df_idx,tokens,ner_tags,has_tag_,has_tag_B-DATE-CREATION,has_tag_B-DATE-PUB,has_tag_B-DATE-SUBJ,has_tag_B-GPE-AUT,has_tag_B-GPE-CREATION,has_tag_B-GPE-DES,has_tag_B-GPE-PUB,has_tag_B-GPE-SUBJ,has_tag_B-LITWORK,has_tag_B-ORG-CREATION,has_tag_B-ORG-DES,has_tag_B-ORG-PUB,has_tag_B-ORG-SUBJ,has_tag_B-PERSON-AUT,has_tag_B-PERSON-CON,has_tag_B-PERSON-EDT,has_tag_B-PERSON-PUB,has_tag_B-PERSON-SUBJ,has_tag_B-YEAR-CREATION,has_tag_B-YEAR-PUB,has_tag_B-YEAR-SUBJ,has_tag_I-DATE-CREATION,has_tag_I-DATE-PUB,has_tag_I-DATE-SUBJ,has_tag_I-GPE,has_tag_I-GPE-CREATION,has_tag_I-GPE-DES,has_tag_I-GPE-PUB,has_tag_I-GPE-SUBJ,has_tag_I-I-GPE-DES,has_tag_I-LITWORK,has_tag_I-ORG,has_tag_I-ORG-CREATION,has_tag_I-ORG-DES,has_tag_I-ORG-PUB,has_tag_I-ORG-SUBJ,has_tag_I-PERSON-AUT,has_tag_I-PERSON-CON,has_tag_I-PERSON-EDT,has_tag_I-PERSON-PUB,has_tag_I-PERSON-SUBJ,has_tag_I-YEAR-CREATION,has_tag_I_ORG-DES,has_tag_O
Hochzeit-Schertz/ In Vergleichung des süssen Ehstandes mit dem Baw des lieben Berg-Wercks : Bey Des ... Herrn Jobst Sellenstedts/ Fürstl. Braunschw. und Lünäburg. wolbestelten Zehnd:Gegenschreibers auff der Fürstl. Bergstadt Claußthal/ angetretenen andern Eh/ Mit der ... Jungfer Christinen/ Des ... Herrn Matthias Tollens/ Fürstl. Braunschw. Lünäburg. Richter und Hütten-Reuter daselbst/ hertzgeliebten Tochter; Bey feyerlicher Vollziehung den 2. May-Monats im 1652sten Jahre ... gesetzet,3034745,"['Hochzeit-Schertz', '/', 'In', 'Vergleichung', 'des', 'süssen', 'Ehstandes', 'mit', 'dem', 'Baw', 'des', 'lieben', 'Berg-Wercks', ':', 'Bey', 'Des', '...', 'Herrn', 'Jobst', 'Sellenstedts', '/', 'Fürstl.', 'Braunschw.', 'und', 'Lünäburg', '.', 'wolbestelten', 'Zehnd', ':', 'Gegenschreibers', 'auff', 'der', 'Fürstl.', 'Bergstadt', 'Claußthal', '/', 'angetretenen', 'andern', 'Eh', '/', 'Mit', 'der', '...', 'Jungfer', 'Christinen', '/', 'Des', '...', 'Herrn', 'Matthias', 'Tollens', '/', 'Fürstl.', 'Braunschw.', 'Lünäburg', '.', 'Richter', 'und', 'Hütten-Reuter', 'daselbst', '/', 'hertzgeliebten', 'Tochter', ';', 'Bey', 'feyerlicher', 'Vollziehung', 'den', '2.', 'May-Monats', 'im', '1652sten', 'Jahre']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON-SUBJ', 'I-PERSON-SUBJ', 'O', 'O', 'B-GPE-DES', 'I-GPE-DES', 'I-GPE-DES', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE-SUBJ', 'I-GPE-SUBJ', 'I-GPE-SUBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON-SUBJ', 'O', 'O', 'O', 'O', 'B-PERSON-SUBJ', 'I-PERSON-SUBJ', 'O', 'O', 'B-GPE-DES', 'I-GPE-DES', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE-SUBJ', 'I-DATE-SUBJ', 'O', 'B-YEAR-SUBJ', 'O']",False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
"Göttlicher Rath, Welchen Bey dem frühzeitigen Ableben Des Weiland HochEhrwürdigen, Hochachtbaren und Hochgelahrten Herrn, Herrn Johann Christian Leo, HochFürstl. Sachsen-Weißenfels. Kirchenraths, und Assessors des Querfurthischen Consistorii, Hochverordneten Pastors und Superintendentens wie auch Professors der Gottesgelahrheit bey dem Jllustri Augusteo allhier, Das den 22. Jun. dieses Jahrs erfolgete, 1743 An die schmertzlich betrübte Wittwe und Kinder Zwey Glieder des geistlichen Hofministerii mitleidig ertheilten",130196,"['Göttlicher', 'Rath', ',', 'Welchen', 'Bey', 'dem', 'frühzeitigen', 'Ableben', 'Des', 'Weiland', 'HochEhrwürdigen', ',', 'Hochachtbaren', 'und', 'Hochgelahrten', 'Herrn', ',', 'Herrn', 'Johann', 'Christian', 'Leo', ',', 'HochFürstl.', 'Sachsen-Weißenfels', '.', 'Kirchenraths', ',', 'und', 'Assessors', 'des', 'Querfurthischen', 'Consistorii', ',', 'Hochverordneten', 'Pastors', 'und', 'Superintendentens', 'wie', 'auch', 'Professors', 'der', 'Gottesgelahrheit', 'bey', 'dem', 'Jllustri', 'Augusteo', 'allhier', ',', 'Das', 'den', '22.', 'Jun.', 'dieses', 'Jahrs', '...', 'gesetzet']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON-SUBJ', 'I-PERSON-SUBJ', 'I-PERSON-SUBJ', 'O', 'O', 'B-GPE-DES', 'O', 'B-GPE-DES', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE-SUBJ', 'I-DATE-SUBJ', 'O', 'O', 'O', 'O']",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
Nachdem nunmehr Gott der allmächtige/ nach ohnlängst zugeschicktem trawrigen fall und zustand/ uns wiederumb in gnaden erfrewet/ und dem ... Ertzstifft Maintz/ sampt hiesiger gemeiner Stadt einen newen Ober: und Erbherrn ... zu einem Ertzbischoffen zu Maintz/ auch ... Churfürsten ... Herrn Anshelm Casimir ... erkohren und erhoben ...,1552413,"['Nachdem', 'nunmehr', 'Gott', 'der', 'allmächtige', '/', 'nach', 'ohnlängst', 'zugeschicktem', 'trawrigen', 'fall', 'und', 'zustand', '/', 'uns', 'wiederumb', 'in', 'gnaden', 'erfrewet', '/', 'und', 'dem', '...', 'Ertzstifft', 'Maintz', '/', 'sampt', 'hiesiger', 'gemeiner', 'Stadt', 'einen', 'newen', 'Ober', ':', 'und', 'Erbherrn', '...', 'zu', 'einem', 'Ertzbischoffen', 'zu', 'Maintz', '/', 'auch', '...', 'Churfürsten', '...', 'Herrn', 'Anshelm', 'Casimir', '...', 'erkohren', 'und', 'erhoben', '...']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE-SUBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE-SUBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON-SUBJ', 'I-PERSON-SUBJ', 'O', 'O', 'O', 'O', 'O']",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
"Die verschmähete Eitelkeit Und Die verlangete Ewigkeit :In vier und zwantzig Erbaulichen Seelengesprächen, Und eben so viel Lehr-reichen Liedern, Welche so wol auf bekante, ... als auf gantz neue, von dem fürtreflichen und weitberühmtem Musico, Herrn HENRICO Scheidemann liblich gesetzete Melodien können gespielet und gesungenen werden",1043053,"['Die', 'verschmähete', 'Eitelkeit', 'Und', 'Die', 'verlangete', 'Ewigkeit', ':', 'In', 'vier', 'und', 'zwantzig', 'Erbaulichen', 'Seelengesprächen', ',', 'Und', 'eben', 'so', 'viel', 'Lehr-reichen', 'Liedern', ',', 'Welche', 'so', 'wol', 'auf', 'bekante', ',', '...', 'als', 'auf', 'gantz', 'neue', ',', 'von', 'dem', 'fürtreflichen', 'und', 'weitberühmtem', 'Musico', ',', 'Herrn', 'HENRICO', 'Scheidemann', 'liblich', 'gesetzete', 'Melodien', 'können', 'gespielet', 'und', 'gesungenen', 'werden']","['B-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON-SUBJ', 'I-PERSON-SUBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
"Thesen, aus der Staats- und Cameralwissenschaft, welche den 17ten December 1834 auf der Ludwigs-Universität öffentlich vertheidigen wird Eduard Lyncker, aus Giessen, Candidat der Staats- und Cameralwissenschaft, und gnädigst zugelassen zum Accesse bei dem Secretariate Grossh. Hess. Oberfinanzkammer 1. Section",2811446,"['Thesen', ',', 'aus', 'der', 'Staats', '-', 'und', 'Cameralwissenschaft', ',', 'welche', 'den', '17ten', 'December', '1834', 'auf', 'der', 'Ludwigs-Universität', 'öffentlich', 'vertheidigen', 'wird', 'Eduard', 'Lyncker', ',', 'aus', 'Giessen', ',', 'Candidat', 'der', 'Staats', '-', 'und', 'Cameralwissenschaft', ',', 'und', 'gnädigst', 'zugelassen', 'zum', 'Accesse', 'bei', 'dem', 'Secretariate', 'Grossh.', 'Hess.', 'Oberfinanzkammer', '1.', 'Section']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE-SUBJ', 'I-DATE-SUBJ', 'B-YEAR-SUBJ', 'O', 'O', 'B-ORG-SUBJ', 'O', 'O', 'O', 'B-PERSON-SUBJ', 'I-PERSON-SUBJ', 'O', 'O', 'B-GPE-DES', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG-SUBJ', 'I-ORG-SUBJ', 'I-ORG-SUBJ', 'O', 'O']",False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
"Samuel Thomas Soemmerring über den Saft, welcher aus den Nerven wieder eingesaugt wird, im gesunden und kranken Zustande des menschlichen Körpers : Eine Abhandlung, welche zu Amsterdam den Preis des Monnikhof'schen Legats im Jahre 1810 erhielt",599509,"['Samuel', 'Thomas', 'Soemmerring', 'über', 'den', 'Saft', ',', 'welcher', 'aus', 'den', 'Nerven', 'wieder', 'eingesaugt', 'wird', ',', 'im', 'gesunden', 'und', 'kranken', 'Zustande', 'des', 'menschlichen', 'Körpers', ':', 'Eine', 'Abhandlung', ',', 'welche', 'zu', 'Amsterdam', 'den', 'Preis', 'des', ""Monnikhof'schen"", 'Legats', 'im', 'Jahre', '1810', 'erhielt']","['B-PERSON-AUT', 'I-PERSON-AUT', 'I-PERSON-AUT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE-SUBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-YEAR-CREATION', 'O']",False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
"Johann Risten Geistlicher Poetischer Schriften Erster Theil, In sich begreiffend Neüe Himlische Lieder, nebenst deroselben Ubersetzung in die Latinische Sprache, M. Tobias Petermans ... :In dise Neüe geschmeidige Form gebracht, und üm so viel füglicher zu gebrauchen, wolmeinentlich herfür gegeben",2566407,"['Johann', 'Risten', 'Geistlicher', 'Poetischer', 'Schriften', 'Erster', 'Theil', ',', 'In', 'sich', 'begreiffend', 'Neüe', 'Himlische', 'Lieder', ',', 'nebenst', 'deroselben', 'Ubersetzung', 'in', 'die', 'Latinische', 'Sprache', ',', 'M.', 'Tobias', 'Petermans', '...', ':', 'In', 'dise', 'Neüe', 'geschmeidige', 'Form', 'gebracht', ',', 'und', 'üm', 'so', 'viel', 'füglicher', 'zu', 'gebrauchen', ',', 'wolmeinentlich', 'herfür', 'gegeben']","['B-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON-CON', 'I-PERSON-CON', 'I-PERSON-CON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
"Marschall Radetzky der Heldengreis :Eine kurze Darstellung seines thatenreichen Lebens und 64-jähriger Dienstzeit. Nebst Aufzählung aller seiner Rangesstufen, Ordens-Decorationen, Feldzüge und Waffenthaten bis zu seinem Einzug in Venedig am 30. August 1849",1892546,"['Marschall', 'Radetzky', 'der', 'Heldengreis', ':', 'Eine', 'kurze', 'Darstellung', 'seines', 'thatenreichen', 'Lebens', 'und', '64-jähriger', 'Dienstzeit', '.', 'Nebst', 'Aufzählung', 'aller', 'seiner', 'Rangesstufen', ',', 'Ordens-Decorationen', ',', 'Feldzüge', 'und', 'Waffenthaten', 'bis', 'zu', 'seinem', 'Einzug', 'in', 'Venedig', 'am', '30.', 'August', '1849']","['B-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE-SUBJ', 'O', 'B-DATE-SUBJ', 'I-DATE-SUBJ', 'B-YEAR-SUBJ']",False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
"Von Gottes Genaden, Wir Maximilian Philipp, in Ober: vnd Nidern Bayrn, auch der Obern Pfaltz Hertzog, Pfaltzgraff bey Rhein ... Administrator deß Churfürstenthumbs Bayrn. Entbieten all- vnnd jeden Churfürstlichen Hof-Raths-Praesidenten, Vitzdomben ... Vnsern Grueß, vnd Gnad zuvor, vnd ist ein vorhin all bekandte Sach, was massen man eine Zeit hero, so wol in Stätten vnd Märckten, als auch auff dem Land das zusammen heyrathen der Ehehalten, vnnd ledigen Bawrs-Volcks gantz vnverwöhrt zugesehen, vnnd gar zu frey verstattet ... :Geben in der Churfl. Haupt- vnd Residentz-Statt München den 12. Aprill Anno 1680.",4216591,"['Von', 'Gottes', 'Genaden', ',', 'Wir', 'Maximilian', 'Philipp', ',', 'in', 'Ober', ':', 'vnd', 'Nidern', 'Bayrn', ',', 'auch', 'der', 'Obern', 'Pfaltz', 'Hertzog', ',', 'Pfaltzgraff', 'bey', 'Rhein', '...', 'Administrator', 'deß', 'Churfürstenthumbs', 'Bayrn', '.', 'Entbieten', 'all', '-', 'vnnd', 'jeden', 'Churfürstlichen', 'Hof-Raths-Praesidenten', ',', 'Vitzdomben', '...', 'Vnsern', 'Grueß', ',', 'vnd', 'Gnad', 'zuvor', ',', 'vnd', 'ist', 'ein', 'vorhin', 'all', 'bekandte', 'Sach', ',', 'was', 'massen', 'man', 'eine', 'Zeit', 'hero', ',', 'so', 'wol', 'in', 'Stätten', 'vnd', 'Märckten', ',', 'als', 'auch', 'auff', 'dem', 'Land', 'das', 'zusammen', 'heyrathen', 'der', 'Ehehalten', ',', 'vnnd', 'ledigen', 'Bawrs-Volcks', 'gantz', 'vnverwöhrt', 'zugesehen', ',', 'vnnd', 'gar', 'zu', 'frey', 'verstattet', '...', ':', 'Geben', 'in', 'der', 'Churfl.', 'Haupt', '-', 'vnd', 'Residentz-Statt', 'München', 'den', '12.', 'Aprill', 'Anno', '1680', '.']","['O', 'O', 'O', 'O', 'O', 'B-PERSON-AUT', 'I-PERSON-AUT', 'O', 'O', 'B-GPE-SUBJ', 'I-GPE-SUBJ', 'I-GPE-SUBJ', 'I-GPE-SUBJ', 'I-GPE-SUBJ', 'O', 'O', 'O', 'B-GPE-DES', 'I-GPE-DES', 'O', 'O', 'O', 'O', 'B-GPE-DES', 'O', 'O', 'O', 'O', 'B-GPE-DES', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE-PUB', 'O', 'B-DATE-PUB', 'I-DATE-PUB', 'O', 'B-YEAR-PUB', 'O']",False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
"Geschichte der Freimaurerlage ""Sct. Andreas zu den 3 Seeblättern"" in Hermannstadt (1767 - 1790) :Nach den Quellen des Archivs der bestandenen Loge dargestellt von Ferdinand von Zieglauer. (Separatabdruck aus dem ""Archiv des Vereins für siebenbürgische Landeskunde"". Bd. XII, Heft 3 u. Bd. XIII, Heft 1.)",3472164,"['Geschichte', 'der', 'Freimaurerlage', '""', 'Sct.', 'Andreas', 'zu', 'den', '3', 'Seeblättern', '""', 'in', 'Hermannstadt', '(', '1767', '-', '1790', ')', ':', 'Nach', 'den', 'Quellen', 'des', 'Archivs', 'der', 'bestandenen', 'Loge', 'dargestellt', 'von', 'Ferdinand', 'von', 'Zieglauer', '.', '(', 'Separatabdruck', 'aus', 'dem', '""', 'Archiv', 'des', 'Vereins', 'für', 'siebenbürgische', 'Landeskunde', '""', '.', 'Bd.', 'XII', ',', 'Heft', '3', 'u.', 'Bd.', 'XIII,', ',', 'Heft', '11.', ')']","['O', 'O', 'O', 'B-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'O', 'B-GPE-SUBJ', 'O', 'B-YEAR-SUBJ', 'O', 'B-YEAR-SUBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON-AUT', 'I-PERSON-AUT', 'I-PERSON-AUT', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'I-LITWORK', 'O']",False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
